Data,Open,High,Low,Close,Volume
1994-11-15,5.4735,5.4735,5.4735,5.4735,42035.0
1994-11-16,5.4735,5.4735,5.4735,5.4735,70840.0
1994-11-17,5.3656,5.3656,5.3656,5.3656,22701.0
1994-11-18,5.6795,5.6795,5.6795,5.6795,44968.0
1994-11-21,5.1008,5.1008,5.1008,5.1008,17876.0
1994-11-22,4.6103,4.6103,4.6103,4.6103,57196.0
1994-11-23,4.6691,4.6691,4.6691,4.6691,32207.0
1994-11-24,4.6495,4.6495,4.6495,4.6495,22124.0
1994-11-25,4.6691,4.6691,4.6691,4.6691,13764.0
1994-11-28,5.1008,5.1008,5.1008,5.1008,34924.0
1994-11-29,5.6108,5.6108,5.6108,5.6108,81446.0
1994-11-30,6.0817,6.0817,6.0817,6.0817,73446.0
1994-12-01,6.0424,6.0424,6.0424,6.0424,78543.0
1994-12-02,5.4245,5.4245,5.4245,5.4245,48839.0
1994-12-05,5.6991,5.6991,5.6991,5.6991,34977.0
1994-12-06,5.5716,5.5716,5.5716,5.5716,34518.0
1994-12-07,5.6991,5.6991,5.6991,5.6991,87938.0
1994-12-08,5.1204,5.1204,5.1204,5.1204,
1994-12-09,4.6691,4.6691,4.6691,4.6691,37452.0
1994-12-12,5.0615,5.0615,5.0615,5.0615,62759.0
1994-12-13,4.8751,4.8751,4.8751,4.8751,32997.0
1994-12-14,4.7771,4.7771,4.7771,4.7771,53942.0
1994-12-15,4.8751,4.8751,4.8751,4.8751,20807.0
1994-12-16,5.346,5.346,5.346,5.346,76884.0
1994-12-19,5.2676,5.2676,5.2676,5.2676,28444.0
1994-12-20,5.2086,5.2086,5.2086,5.2086,26877.0
1994-12-21,5.1204,5.1204,5.1204,5.1204,14698.0
1994-12-22,5.2676,5.2676,5.2676,5.2676,10852.0
1994-12-23,5.2676,5.2676,5.2676,5.2676,16021.0
1994-12-27,5.2282,5.2282,5.2282,5.2282,15350.0
1994-12-28,5.0615,5.0615,5.0615,5.0615,17041.0
1994-12-29,5.1008,5.1008,5.1008,5.1008,20563.0
1995-01-02,5.6108,5.6108,5.6108,5.6108,79982.0
1995-01-03,5.3264,5.3264,5.3264,5.3264,55473.0
1995-01-04,5.4735,5.4735,5.4735,5.4735,22486.0
1995-01-05,5.5912,5.5912,5.5912,5.5912,21815.0
1995-01-06,5.3068,5.3068,5.3068,5.3068,15644.0
1995-01-09,5.4245,5.4245,5.4245,5.4245,12344.0
1995-01-10,5.4245,5.4245,5.4245,5.4245,42179.0
1995-01-11,5.4539,5.4539,5.4539,5.4539,26882.0
1995-01-12,5.5128,5.5128,5.5128,5.5128,18692.0
1995-01-13,5.5912,5.5912,5.5912,5.5912,38618.0
1995-01-16,5.5324,5.5324,5.5324,5.5324,11661.0
1995-01-17,5.4735,5.4735,5.4735,5.4735,25408.0
1995-01-18,5.3852,5.3852,5.3852,5.3852,29417.0
1995-01-19,5.4735,5.4735,5.4735,5.4735,9324.0
1995-01-20,5.4539,5.4539,5.4539,5.4539,14955.0
1995-01-23,5.2676,5.2676,5.2676,5.2676,26496.0
1995-01-24,4.983,4.983,4.983,4.983,19082.0
1995-01-25,4.9537,4.9537,4.9537,4.9537,145622.0
1995-01-26,4.9537,4.9537,4.9537,4.9537,24507.0
1995-01-27,5.0026,5.0026,5.0026,5.0026,21703.0
1995-01-30,4.9537,4.9537,4.9537,4.9537,32273.0
1995-01-31,4.9537,4.9537,4.9537,4.9537,50323.0
1995-02-01,5.0615,5.0615,5.0615,5.0615,22623.0
1995-02-02,5.0615,5.0615,5.0615,5.0615,43970.0
1995-02-03,4.9537,4.9537,4.9537,4.9537,31063.0
1995-02-06,5.2086,5.2086,5.2086,5.2086,6533.0
1995-02-07,5.7384,5.7384,5.7384,5.7384,70340.0
1995-02-08,5.6304,5.6304,5.6304,5.6304,41533.0
1995-02-09,5.2676,5.2676,5.2676,5.2676,16337.0
1995-02-10,5.2676,5.2676,5.2676,5.2676,42923.0
1995-02-13,5.1596,5.1596,5.1596,5.1596,4453.0
1995-02-14,5.3656,5.3656,5.3656,5.3656,10340.0
1995-02-15,5.2282,5.2282,5.2282,5.2282,8614.0
1995-02-16,5.346,5.346,5.346,5.346,7387.0
1995-02-17,5.2872,5.2872,5.2872,5.2872,8515.0
1995-02-20,5.1008,5.1008,5.1008,5.1008,6958.0
1995-02-21,4.8359,4.8359,4.8359,4.8359,32058.0
1995-02-22,4.8947,4.8947,4.8947,4.8947,17769.0
1995-02-23,4.983,4.983,4.983,4.983,24604.0
1995-02-24,5.4735,5.4735,5.4735,5.4735,93778.0
1995-02-27,4.9341,4.9341,4.9341,4.9341,26328.0
1995-02-28,4.9537,4.9537,4.9537,4.9537,17547.0
1995-03-01,5.0223,5.0223,5.0223,5.0223,11453.0
1995-03-02,5.1596,5.1596,5.1596,5.1596,15591.0
1995-03-03,5.2282,5.2282,5.2282,5.2282,14450.0
1995-03-06,5.2086,5.2086,5.2086,5.2086,27767.0
1995-03-07,5.1596,5.1596,5.1596,5.1596,26245.0
1995-03-08,5.2282,5.2282,5.2282,5.2282,11292.0
1995-03-09,5.2479,5.2479,5.2479,5.2479,15826.0
1995-03-10,5.1793,5.1793,5.1793,5.1793,25079.0
1995-03-13,5.14,5.14,5.14,5.14,27807.0
1995-03-14,5.0615,5.0615,5.0615,5.0615,7907.0
1995-03-15,5.1596,5.1596,5.1596,5.1596,10750.0
1995-03-16,5.0615,5.0615,5.0615,5.0615,9483.0
1995-03-17,5.0812,5.0812,5.0812,5.0812,18596.0
1995-03-20,5.0026,5.0026,5.0026,5.0026,17702.0
1995-03-21,5.0223,5.0223,5.0223,5.0223,14740.0
1995-03-22,5.0026,5.0026,5.0026,5.0026,15902.0
1995-03-23,4.9537,4.9537,4.9537,4.9537,25312.0
1995-03-24,4.983,4.983,4.983,4.983,6428.0
1995-03-27,5.0026,5.0026,5.0026,5.0026,16004.0
1995-03-28,4.9341,4.9341,4.9341,4.9341,12149.0
1995-03-29,4.8359,4.8359,4.8359,4.8359,6824.0
1995-03-30,4.8555,4.8555,4.8555,4.8555,12045.0
1995-03-31,4.9537,4.9537,4.9537,4.9537,16134.0
1995-04-03,5.0615,5.0615,5.0615,5.0615,13736.0
1995-04-04,5.1596,5.1596,5.1596,5.1596,36027.0
1995-04-05,5.1596,5.1596,5.1596,5.1596,24307.0
1995-04-06,5.2282,5.2282,5.2282,5.2282,57710.0
1995-04-07,5.3656,5.3656,5.3656,5.3656,67438.0
1995-04-10,5.9247,5.9247,5.9247,5.9247,103276.0
1995-04-11,5.9639,5.9639,5.9639,5.9639,63572.0
1995-04-12,5.9639,5.9639,5.9639,5.9639,76990.0
1995-04-13,5.6991,5.6991,5.6991,5.6991,70845.0
1995-04-14,5.8364,5.8364,5.8364,5.8364,40844.0
1995-04-18,6.3073,6.3073,6.3073,6.3073,18619.0
1995-04-19,6.9253,6.9253,6.9253,6.9253,70180.0
1995-04-20,6.8272,6.8272,6.8272,6.8272,83990.0
1995-04-21,6.6212,6.6212,6.6212,6.6212,78279.0
1995-04-24,6.9449,6.9449,6.9449,6.9449,69901.0
1995-04-25,6.8272,6.8272,6.8272,6.8272,106269.0
1995-04-26,6.2681,6.2681,6.2681,6.2681,49289.0
1995-04-27,6.3759,6.3759,6.3759,6.3759,82792.0
1995-04-28,6.4152,6.4152,6.4152,6.4152,94113.0
1995-05-04,6.6408,6.6408,6.6408,6.6408,71182.0
1995-05-05,6.8664,6.8664,6.8664,6.8664,75912.0
1995-05-09,7.2294,7.2294,7.2294,7.2294,71140.0
1995-05-10,7.965,7.965,7.965,7.965,133630.0
1995-05-11,8.691,8.691,8.691,8.691,191673.0
1995-05-12,8.2789,8.2789,8.2789,8.2789,108009.0
1995-05-15,8.8086,8.8086,8.8086,8.8086,89615.0
1995-05-16,7.9258,7.9258,7.9258,7.9258,59023.0
1995-05-17,7.9258,7.9258,7.9258,7.9258,138169.0
1995-05-18,7.6414,7.6414,7.6414,7.6414,108938.0
1995-05-19,7.5825,7.5825,7.5825,7.5825,80009.0
